SMILES,pIC50
C[NH+](C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,-2.365349019
COC(=O)c1ccc2c(/C(=N/c3ccc(N(C)C(=O)CN4CC[NH+](C)CC4)cc3)c3ccccc3)c([O-])[nH]c2c1,-2.574137064
[NH3+]CCc1cnc[nH]1,-2.788483563
C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,-2.546852651
CC(C)(C)c1nc(-c2cccc([N-]S(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,-2.663316851
Cn1c(CCCC(=O)[O-])nc2cc(N(CCCl)CCCl)ccc21,-2.737557769
CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,-2.754822246
NC(=[NH2+])NCc1cccc([131I])c1,-2.556202857
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-2.476073776
S=c1[nH]cnc2nc[nH]c12,-2.669943545
N[C@@](CCC[NH3+])(C(=O)[O-])C(F)F,-2.628252591
CCc1nc(C(N)=O)c(Nc2ccc(N3CCC([NH+]4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,-2.489409138
CNNCc1ccc(C(=O)NC(C)C)cc1,-2.60800105
[NH3+][C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)[O-],-2.862140179
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)[O-])C(C)(C)CCC1,-2.460753291
NC(=O)NO,-2.606111713
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-2.29073993
CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,-2.782738784
CN(C)/N=N/c1[nH]cnc1C(N)=O,-2.84378351
O=[P@]1(N(CCCl)CCCl)NCCCO1,-2.936169618
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,-2.502023679
COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4,-2.096469803
O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1,-2.773566267
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)[O-])C(C)(C)CCC1,-2.460753291
O=C([O-])C1(C(=O)O)CCC1,-2.523705233
